"Gemeente","Plaats","Postcode","Provincie","Breedtegraad (N):","Lengtegraad (E):","Netnummer","Wijken"
"'s-Gravenhage","Den Haag","2490","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2491","Zuid-Holland",52.066791752672,4.3849400660805,"070","Wijk 43 ForeparkWijk 44 Leidschenveen"
"'s-Gravenhage","Den Haag","2492","Zuid-Holland",52.065114243038,4.4130528197118,"070","Wijk 44 Leidschenveen"
"'s-Gravenhage","Den Haag","2493","Zuid-Holland",52.058323857409,4.4031495876758,"070","Wijk 44 Leidschenveen"
"'s-Gravenhage","Den Haag","2495","Zuid-Holland",52.05546200268,4.359347880049,"070","Wijk 41 Hoornwijk"
"'s-Gravenhage","Den Haag","2496","Zuid-Holland",52.050973252019,4.3751846876427,"070","Wijk 41 HoornwijkWijk 42 Ypenburg"
"'s-Gravenhage","Den Haag","2497","Zuid-Holland",52.036708465248,4.3629474195861,"070","Wijk 41 HoornwijkWijk 42 Ypenburg"
"'s-Gravenhage","Den Haag","2498","Zuid-Holland",52.032624978151,4.3839536241018,"070","Wijk 42 Ypenburg"
"'s-Gravenhage","Den Haag","2500","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2501","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2502","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2503","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2504","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2505","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2506","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2507","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2508","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2509","Zuid-Holland",51.974301320575,4.5074130875837,NA,NA
"'s-Gravenhage","Den Haag","2511","Zuid-Holland",52.078453093502,4.3175143638802,"070","Wijk 27 StationsbuurtWijk 28 Centrum"
"'s-Gravenhage","Den Haag","2512","Zuid-Holland",52.073462422526,4.3045736756943,"070","Wijk 28 CentrumWijk 29 Schildersbuurt"
"'s-Gravenhage","Den Haag","2513","Zuid-Holland",52.078795765114,4.3026277504886,"070","Wijk 22 ZeeheldenkwartierWijk 28 Centrum"
"'s-Gravenhage","Den Haag","2514","Zuid-Holland",52.085630206137,4.3092407305075,"070","Wijk 05 ArchipelbuurtWijk 23 WillemsparkWijk 28 Centrum"
"'s-Gravenhage","Den Haag","2515","Zuid-Holland",52.072458305781,4.3207039209501,"070","Wijk 27 StationsbuurtWijk 29 Schildersbuurt"
"'s-Gravenhage","Den Haag","2516","Zuid-Holland",52.067846097473,4.3382271128678,"070","Wijk 26 BezuidenhoutWijk 27 StationsbuurtWijk 38 Laakkwartier en SpoorwijkWijk 39 BinckhorstWijk 41 Hoornwijk"
"'s-Gravenhage","Den Haag","2517","Zuid-Holland",52.086965865197,4.2855105634292,"070","Wijk 05 ArchipelbuurtWijk 09 Geuzen- en StatenkwartierWijk 10 ZorgvlietWijk 11 DuinoordWijk 12 Bomen- en BloemenbuurtWijk 21 RegentessekwartierWijk 22 Zeeheldenkwartier"
"'s-Gravenhage","Den Haag","2518","Zuid-Holland",52.080832384509,4.2945838965454,"070","Wijk 11 DuinoordWijk 21 RegentessekwartierWijk 22 ZeeheldenkwartierWijk 23 Willemspark"
"'s-Gravenhage","Den Haag","2521","Zuid-Holland",52.063198492504,4.3183198951266,"070","Wijk 27 StationsbuurtWijk 38 Laakkwartier en Spoorwijk"
"'s-Gravenhage","Den Haag","2522","Zuid-Holland",52.060433782542,4.3271683243797,"070","Wijk 38 Laakkwartier en Spoorwijk"
"'s-Gravenhage","Den Haag","2523","Zuid-Holland",52.056825538693,4.3201091308728,"070","Wijk 38 Laakkwartier en Spoorwijk"
"'s-Gravenhage","Den Haag","2524","Zuid-Holland",52.053281169354,4.3134507105515,"070","Wijk 38 Laakkwartier en Spoorwijk"
