"x","y"
95.7,18.5
92.2,15.3
94.2,13.5
99,14.1
98,16.8
96.7,13.9
95.4,19.1
91.8,18
70.3,65.7
73.8,62.2
75.8,63
75.9,63.2
72,65.7
69.7,65.7
69.7,64.5
71.9,60.9
73.1,60.6
73.5,59.9
74.3,59.8
76,62.3
77.1,60.3
78.5,60.9
78.9,63
76.8,64.2
76.9,65.7
79,63
79.8,63.7
80.1,64.5
79.9,65
78.8,65.7
80.5,65.7
81.6,64.6
81.6,65.7
81.9,64.2
85.1,65.3
85.2,65.6
85.2,65.7
88.7,64.5
90,65.7
88.4,63.2
89,62.3
89.1,62.3
91.2,63.8
90.8,65.7
91.6,63.3
93.8,63.1
94.1,64.8
94.2,65.7
95.6,63.5
96.1,64.3
95.1,65.7
97.5,63.7
99.2,65.7
97.4,62.4
98.2,61.8
99.3,62.7
99.4,65.7
101,62.4
101.5,62.8
101.3,64.4
100.7,65.7
103.8,64
103.7,65.7
103.7,64
103.9,63.9
106.1,64.3
106.8,65.7
106.1,63
106.5,61.8
107.3,61.6
108.3,61.6
109.2,62
109.2,62.1
108.8,65.7
110.7,62
111.3,62.3
111.6,63.6
109.5,65.7
112.7,64.1
112.5,65.4
109.7,65.7
115.3,62.8
115.5,62.8
115.4,63.1
114.1,65
115.4,64.7
115.9,62.7
117,62.6
116.8,64.2
117.1,62.6
117.7,63.8
118.5,61.5
118.6,61.5
120.3,62.5
121.9,60.5
122.2,61.3
122.2,59.4
123.7,59.6
122,59.3
122.8,57.8
123.8,57.4
124.7,58.5
123.7,56.8
124.2,56.1
125.7,56.8
124.6,55.2
125.7,55.6
126,56.2
126.9,54.4
126.8,53.5
127.2,53.5
126,53.1
125.9,52.2
126.4,51.1
127.4,51.6
126.4,50.4
126.5,50.3
127.7,49.8
125.2,48.9
125.5,48.3
126.5,48.1
127.9,48.5
126.9,46.5
127.8,46.9
127.9,48.1
126.8,46.4
126.8,43.4
126.9,43.4
127.3,43.5
127.1,42.8
127.2,42.7
127,42
126.1,43.4
125,42.8
123.9,40.6
124,40.5
125.3,40
126.8,41.5
125.9,39.5
124.6,37.2
123.4,40.5
122.1,40
120.6,37.5
122.7,35.1
123,35.2
122.8,35.1
122.7,34.9
120.5,37.5
118.4,35.4
119.4,32.4
116.1,34.2
116.1,33.4
118.1,31.8
114.7,30.9
115.1,30.5
114.1,30.8
114.1,30.2
112.9,31.1
112.6,29.8
112.7,31.3
110.2,31.4
109.2,29.6
109.2,29.4
111.6,29.7
109,28.9
110.3,27.8
113,27.9
113.1,28
112.9,28.6
110.5,29.5
113.3,28.1
113.5,28.4
113.9,28.1
114,28.2
114.4,28
113.1,27.6
114.7,26.2
115.4,27
115.3,27.4
115.1,27.7
115.5,27.6
116.5,27.1
116.1,27.4
115,24.8
115.1,24.8
118.5,25
118.7,25
118.6,25.6
119,24.9
119.3,24.9
118.9,25.3
119.3,22
121.2,21.8
120.2,23.5
119.1,21.1
120.6,20.4
121.4,21.6
121.4,19.7
121.8,20
121.8,20.9
122.2,20.1
121.3,18.8
121.4,18.8
122.9,18.4
123.2,18.5
123,16.4
123.1,16.3
124,17.2
124.2,15.6
124.8,15.8
124.2,13.9
124.5,13.7
126.1,13.6
124.3,12.6
124.9,11.8
126.6,12.1
126.5,12.9
126.8,11.8
127.1,12
127.3,11.6
126.1,9.7
127.1,7.7
128.2,8.1
128.1,10.2
128.3,8.1
129,8.7
129,7.7
129.7,7.5
129.9,4.8
130.6,3.5
130.7,3.5
131.8,4
131.3,1.3
133.2,0
134.1,0
130.8,0
130.4,3.4
128.6,0
129.8,3.5
127.8,2.6
127.2,1.2
128.4,0
126.9,1.2
124.8,0
125.5,3
123.9,0.5
123.8,0
122.9,3.3
120.8,3.2
120.3,3
123.4,0
120.1,3
119,0.7
118.7,0
116.6,4
115.8,0
116.6,4.1
114.7,4.6
113.6,2.9
115.2,0
112.9,2.9
111.7,0.6
112,0
111,1.3
111.7,0
112.1,3.3
110.5,2.1
111.9,3.9
109.7,4.1
109.6,3.9
110,5.1
108.9,5.6
108.7,5.6
109.2,6.2
108.9,6.7
108.4,6
109,7.3
107.7,7.4
110.4,8.1
110,9.2
107.5,9.4
107.6,7.6
106.8,9.8
106.5,9.8
106.5,9.7
106.3,10
107.8,11.1
106.7,12.4
105.5,12.5
105.1,12.3
107.2,14.6
107.1,14.9
107,15
105.8,15.4
104.7,15
104.1,14.2
104,17
103.4,17.3
102.7,16.8
103.5,18
102.6,18.7
101.7,18.7
102.5,20.2
102.4,20.5
101.8,21
101.3,21.1
100.8,20.3
101,19.9
101.1,19.8
100.8,20.2
100.7,22.1
99.5,22.2
101.3,24
100.3,25.1
99.2,24.7
98.3,23.8
97.1,26.7
96.7,25.2
97.7,24.5
97.1,27.8
96.8,27.9
94.1,25.8
94.1,25.7
95,25.7
93.6,26.5
92,28.2
91.7,28
91,27.3
90.9,25.7
87.9,27.5
87.8,25
88.5,24.1
89.6,24.5
89.6,25.7
88.5,23.9
